date,actual_avg_bln,required_avg_bln,required_account_bln
2004-01-09,195.45666666666665,8.7,116.0
2004-01-10,231.54032258064515,9.1,117.3
2004-01-11,282.4883333333334,11.5,118.9
2004-01-12,368.2596774193548,12.0,121.7
2005-01-01,356.6758064516129,12.7,171.6
2005-01-02,265.6303571428571,13.2,129.1
2005-01-03,286.12580645161296,13.4,133.2
2005-01-04,258.43000000000006,12.9,134.4
2005-01-05,239.0129032258064,14.4,135.1
2005-01-06,242.8233333333333,15.1,137.2
2005-01-07,246.86612903225807,15.8,142.0
2005-01-08,267.33225806451617,16.3,144.7
2005-01-09,297.8116666666666,16.8,150.0
2005-01-10,317.6854838709677,16.9,154.6
2005-01-11,274.835,16.5,159.8
2005-01-12,366.5193548387097,17.9,161.3
2006-01-01,399.04193548387104,19.2,171.6
2006-01-02,326.26785714285717,19.2,168.3
2006-01-03,325.8451612903226,19.5,172.1
2006-01-04,323.41666666666663,20.2,176.1
2006-01-05,353.9483870967741,20.7,183.1
2006-01-06,365.7316666666666,21.6,190.2
2006-01-07,388.3499999999999,22.5,193.9
2006-01-08,357.31935483870967,23.7,204.2
2006-01-09,356.32666666666665,23.9,205.8
2006-01-10,359.7225806451612,38.0,207.2
2006-01-11,337.58166666666676,40.3,212.7
2006-01-12,492.6870967741936,43.2,221.1
2007-01-01,506.716129032258,46.5,229.4
2007-01-02,405.04642857142863,71.2,210.5
2007-01-03,595.0354838709678,73.4,209.6
2007-01-04,426.55,76.8,219.1
2007-01-05,430.23225806451615,81.7,229.9
2007-01-06,470.68,90.0,244.8
2007-01-07,480.4548387096775,112.9,317.7
2007-01-08,445.38548387096773,118.9,311.0
2007-01-09,466.82166666666666,118.6,318.8
2007-01-10,491.0822580645161,96.8,260.5
2007-01-11,510.56666666666655,122.5,222.8
2007-01-12,704.7806451612904,124.1,220.7
2008-01-01,673.1822580645161,130.8,234.0
2008-01-02,521.343103448276,178.5,316.5
2008-01-03,556.333870967742,225.9,339.3
2008-01-04,550.2016666666669,227.9,345.7
2008-01-05,580.0983870967742,239.2,350.4
2008-01-06,607.4316666666667,243.2,360.3
2008-01-07,606.109677419355,312.6,388.0
2008-01-08,618.6161290322582,319.6,397.7
2008-01-09,731.9016666666668,150.4,151.8
2008-01-10,581.0548387096775,42.1,34.1
2008-01-11,590.0933333333335,37.6,30.0
2008-01-12,644.1112903225807,37.5,29.8
2009-01-01,681.2741935483872,37.0,29.4
2009-01-02,413.475,39.1,31.1
2009-01-03,397.4209677419355,41.8,33.3
2009-01-04,388.2766666666667,40.9,32.5
2009-01-05,400.1758064516129,39.8,31.5
2009-01-06,419.2733333333334,78.8,61.8
2009-01-07,406.241935483871,121.7,93.2
2009-01-08,465.2096774193549,163.2,125.3
2009-01-09,501.8866666666668,199.9,153.9
2009-01-10,535.8499999999999,199.7,154.0
2009-01-11,561.63,195.4,151.4
2009-10-12,713.198387096774,195.0,151.4
2010-10-01,528.7338709677418,200.3,156.5
2010-10-02,476.2196428571429,203.5,159.1
2010-10-03,510.7193548387097,197.1,167.7
2010-10-04,500.5516666666666,185.6,183.1
2010-10-05,504.333870967742,205.3,170.4
2010-10-06,572.0433333333334,206.8,175.5
2010-10-07,494.2999999999999,207.8,180.8
2010-10-08,491.0451612903224,217.3,179.3
2010-10-09,502.83,219.8,182.2
2010-10-10,511.6387096774194,225.7,186.2
2010-10-11,523.14,227.5,185.7
