date,instrument_type,term_raw,settle1,settle2,limit_bln,min_rate,term_days
2015-01-13,Основной,"7
									д.",14.01.2015,21.01.2015,2450.0,17.0,7
2015-01-20,Основной,"7
									д.",21.01.2015,28.01.2015,2200.0,17.0,7
2015-01-27,Основной,"7
									д.",28.01.2015,04.02.2015,2070.0,17.0,7
2015-02-03,Основной,"7
									д.",04.02.2015,11.02.2015,1300.0,15.0,7
2015-02-10,Основной,"7
									д.",11.02.2015,18.02.2015,1200.0,15.0,7
2015-02-17,Основной,"7
									д.",18.02.2015,25.02.2015,1450.0,15.0,7
2015-02-24,Основной,"7
									д.",25.02.2015,04.03.2015,1430.0,15.0,7
2015-03-03,Основной,"7
									д.",04.03.2015,11.03.2015,1330.0,15.0,7
2015-03-10,Основной,"7
									д.",11.03.2015,18.03.2015,1350.0,15.0,7
2015-03-17,Основной,"7
									д.",18.03.2015,25.03.2015,1450.0,14.0,7
2015-03-19,Тонкой настройки,"1
								д.",19.03.2015,20.03.2015,170.0,14.0,1
2015-03-24,Основной,"7
									д.",25.03.2015,01.04.2015,1570.0,14.0,7
2015-03-26,Тонкой настройки,"1
								д.",26.03.2015,27.03.2015,180.0,14.0,1
2015-03-30,Тонкой настройки,"2
								д.",30.03.2015,01.04.2015,340.0,14.0,2
2015-03-31,Основной,"7
									д.",01.04.2015,08.04.2015,1650.0,14.0,7
2015-04-07,Основной,"7
									д.",08.04.2015,15.04.2015,1640.0,14.0,7
2015-04-14,Основной,"7
									д.",15.04.2015,22.04.2015,2060.0,14.0,7
2015-04-20,Тонкой настройки,"2
								д.",20.04.2015,22.04.2015,230.0,14.0,2
2015-04-21,Основной,"7
									д.",22.04.2015,29.04.2015,2360.0,14.0,7
2015-04-27,Тонкой настройки,"2
								д.",27.04.2015,29.04.2015,400.0,14.0,2
2015-04-28,Основной,"7
									д.",29.04.2015,06.05.2015,2340.0,14.0,7
2015-04-29,Тонкой настройки,"1
								д.",29.04.2015,30.04.2015,320.0,14.0,1
2015-05-05,Основной,"7
									д.",06.05.2015,13.05.2015,2330.0,12.5,7
2015-05-12,Основной,"7
									д.",13.05.2015,20.05.2015,1620.0,12.5,7
2015-05-19,Основной,"7
									д.",20.05.2015,27.05.2015,2170.0,12.5,7
2015-05-26,Основной,"7
									д.",27.05.2015,03.06.2015,1780.0,12.5,7
2015-06-02,Основной,"7
									д.",03.06.2015,10.06.2015,1290.0,12.5,7
2015-06-05,Тонкой настройки,"3
								д.",05.06.2015,08.06.2015,200.0,12.5,3
2015-06-08,Тонкой настройки,"1
								д.",08.06.2015,09.06.2015,260.0,12.5,1
2015-06-09,Основной,"7
									д.",10.06.2015,17.06.2015,1580.0,12.5,7
2015-06-16,Основной,"7
									д.",17.06.2015,24.06.2015,1700.0,11.5,7
2015-06-23,Основной,"7
									д.",24.06.2015,01.07.2015,1570.0,11.5,7
2015-06-30,Основной,"7
									д.",01.07.2015,08.07.2015,1450.0,11.5,7
2015-07-07,Основной,"7
									д.",08.07.2015,15.07.2015,1370.0,11.5,7
2015-07-14,Основной,"7
									д.",15.07.2015,22.07.2015,1230.0,11.5,7
2015-07-21,Основной,"7
									д.",22.07.2015,29.07.2015,1620.0,11.5,7
2015-07-28,Основной,"7
									д.",29.07.2015,05.08.2015,1590.0,11.5,7
2015-08-04,Основной,"7
									д.",05.08.2015,12.08.2015,1120.0,11.0,7
2015-08-11,Основной,"7
									д.",12.08.2015,19.08.2015,900.0,11.0,7
2015-08-18,Основной,"7
									д.",19.08.2015,26.08.2015,1080.0,11.0,7
2015-08-25,Основной,"7
									д.",26.08.2015,02.09.2015,1230.0,11.0,7
2015-09-01,Основной,"7
									д.",02.09.2015,09.09.2015,730.0,11.0,7
2015-09-08,Основной,"7
									д.",09.09.2015,16.09.2015,950.0,11.0,7
2015-09-15,Основной,"7
									д.",16.09.2015,23.09.2015,1100.0,11.0,7
2015-09-22,Основной,"7
									д.",23.09.2015,30.09.2015,1440.0,11.0,7
2015-09-29,Основной,"7
									д.",30.09.2015,07.10.2015,910.0,11.0,7
2015-10-06,Основной,"7
									д.",07.10.2015,14.10.2015,730.0,11.0,7
2015-10-13,Основной,"7
									д.",14.10.2015,21.10.2015,1030.0,11.0,7
2015-10-20,Основной,"7
									д.",21.10.2015,28.10.2015,1160.0,11.0,7
2015-10-27,Основной,"8
									д.",28.10.2015,05.11.2015,1090.0,11.0,8
2015-11-03,Тонкой настройки,"6
									д.",05.11.2015,11.11.2015,570.0,11.0,6
2015-11-10,Основной,"7
									д.",11.11.2015,18.11.2015,770.0,11.0,7
2015-11-17,Основной,"7
									д.",18.11.2015,25.11.2015,990.0,11.0,7
2015-11-24,Основной,"7
									д.",25.11.2015,02.12.2015,950.0,11.0,7
2015-12-01,Основной,"7
									д.",02.12.2015,09.12.2015,550.0,11.0,7
2015-12-08,Основной,"7
									д.",09.12.2015,16.12.2015,750.0,11.0,7
