Дата,Код выпуска,Тип бумаги,Дней до погашения,"Объем предложения, млн руб.","Цена отсечения, % от номинала","Цена средневзвешенная, % от номинала","Доходность по цене отсечения, % годовых","Доходность средневзвешенная, % годовых","Совокупный объем спроса по номиналу, млн руб.","Объем размещения по номиналу, млн руб.","Объем выручки, млн руб.",Коэффициент удовлетворения спроса,Cover ratio (спрос / размещение),Год источника,Формат
2016-01-13,24018RMFS,ОФЗ-ПК,714,10000.0,101.55,101.6562,11.38,11.31,16517.109999999997,9522.916,9724.43696883,1.6517109999999997,1.734459276969365,2016,
2016-01-13,26214RMFS,ОФЗ-ПД,1596,7800.0,86.35549999999999,86.54039999999999,10.62,10.56,17460.237,7800.0,6807.560875,2.238491923076923,2.238491923076923,2016,
2016-01-20,26207RMFS,ОФЗ-ПД,4032,8000.0,84.811,85.0496,10.78,10.74,14818.433,8000.0,7079.08842931,1.852304125,1.852304125,2016,
2016-01-20,29006RMFS,ОФЗ-ПК,3297,12000.0,102.58,102.635,14.45,14.44,24993.603,12000.0,13082.64,2.08280025,2.08280025,2016,
2016-01-27,29006RMFS,ОФЗ-ПК,3290,16000.0,102.8,102.8649,14.41,14.39,26928.29,11189.956,12256.34342117,1.683018125,2.406469694787004,2016,
2016-01-27,29011RMFS,ОФЗ-ПК,1463,14008.257,102.655,102.69299999999998,14.000000000000002,13.98,40995.475,14008.256,15353.88690908,2.9265221933035637,2.9265224022176635,2016,
2016-02-03,52001RMFS,ОФЗ-ИН,2751,12082.41339588,99.75,99.8755,2.6599999999999997,2.64,17951.532531,8189.08786632,8269.15775325,1.4857571863185317,2.19212845484671,2016,
2016-02-03,26217RMFS,ОФЗ-ПД,2023,15000.0,88.48,88.6589,10.54,10.489999999999998,59937.112,15000.0,13600.92925,3.995807466666667,3.995807466666667,2016,
2016-02-10,26207RMFS,ОФЗ-ПД,4011,10000.0,87.31,87.5434,10.34,10.3,46158.966,9999.999,9145.14203782,4.6158966,4.615897061589706,2016,
2016-02-10,29006RMFS,ОФЗ-ПК,3276,15000.0,103.8505,103.9333,11.96,11.94,42150.566,14999.998,15589.99092133,2.810037733333333,2.810038108005081,2016,
2016-02-17,26218RMFS,ОФЗ-ПД,5691,20000.0,88.2269,88.4639,10.25,10.22,65252.12600000001,19999.998,18214.38389657,3.2626063000000007,3.2626066262606632,2016,
2016-02-17,29011RMFS,ОФЗ-ПК,1442,10000.0,103.845,103.865,11.15,10.14,27234.976,10000.0,10432.8,2.7234976,2.7234976,2016,
2016-03-02,26217RMFS,ОФЗ-ПД,1995,15000.0,92.2222,92.2754,9.57,9.55,40937.486,14999.999,13862.91455633,2.7291657333333332,2.729165915277727,2016,
2016-03-02,29006RMFS,ОФЗ-ПК,3255,20000.0,106.8115,106.8537,11.4,11.4,51033.719,19999.998,21512.54184873,2.55168595,2.5516862051686204,2016,
2016-03-16,26218RMFS,ОФЗ-ПД,5663,20000.0,93.11,93.4431,9.57,9.52,33730.293000000005,19999.998,19340.626250940004,1.6865146500000003,1.6865148186514822,2016,
2016-03-16,29011RMFS,ОФЗ-ПК,1414,10000.0,103.7305,103.7556,11.16,11.15,29796.41,10000.0,10514.5636,2.979641,2.979641,2016,
2016-03-23,26207RMFS,ОФЗ-ПД,3969,12000.005,94.8011,94.9225,9.1,9.08,21742.833,12000.003,11484.54527115,1.8119019950408355,1.8119022970244256,2016,
2016-03-23,29011RMFS,ОФЗ-ПК,1407,18596.359,103.8,103.9454,11.13,11.08,15393.0,9263.0,9778.71166,0.8277426780156266,1.6617726438518838,2016,
2016-03-30,52001RMFS,ОФЗ-ИН,2695,3948.2598057,101.25,101.3048,2.48,2.47,10106.2955028,2014.5217323,2045.63292344,2.559683506189183,5.016722004414189,2016,
2016-03-30,26217RMFS,ОФЗ-ПД,1967,13620.961,93.07,93.1598,9.37,9.34,46956.771,11456.507,10755.22839352,3.447390459454366,4.098698756959691,2016,
2016-03-30,24018RMFS,ОФЗ-ПК,637,9333.54,101.9,101.941,11.02,10.99,25059.509,9333.538,9793.495536879998,2.6848879417670037,2.6848885170875176,2016,
2016-04-06,26218RMFS,ОФЗ-ПД,5642,20000.0,94.4085,94.5907,9.39,9.37,26197.543,17402.216,16460.88365309,1.3098771500000002,1.5054141955254434,2016,
2016-04-06,29006RMFS,ОФЗ-ПК,3220,10000.0,106.3315,106.3991,11.48,11.47,19623.5,10000.0,10828.9118725,1.96235,1.96235,2016,
2016-04-13,26217RMFS,ОФЗ-ПД,1953,20000.0,92.7115,92.7388,9.47,9.46,52598.626,20000.0,18749.167,2.6299313,2.6299313,2016,
2016-04-13,29011RMFS,ОФЗ-ПК,1386,10000.0,103.8,103.8763,11.11,11.09,19867.595,7041.563,7477.665171279999,1.9867595,2.8214751469240564,2016,
2016-04-20,26217RMFS,ОФЗ-ПД,1946,10000.0,93.25,93.2885,9.33,9.32,44516.788,10000.0,9443.9547,4.4516788,4.4516788,2016,
2016-04-20,26207RMFS,ОФЗ-ПД,3941,15000.0,94.1452,94.2345,9.21,9.2,45316.65,15000.0,14346.22745,3.02111,3.02111,2016,
2016-04-27,26207RMFS,ОФЗ-ПД,3934,10000.0,94.15,94.1525,9.21,9.21,46736.68,9999.999,9571.54911787,4.673668,4.673668467366847,2016,
2016-04-27,29006RMFS,ОФЗ-ПК,3199,15000.0,106.0,106.1186,11.53,11.51,13050.0,9730.0,10578.2205,0.87,1.341212744090442,2016,
2016-05-11,26218RMFS,ОФЗ-ПД,5607,10000.0,97.67,97.6908,8.97,8.97,28948.095,10000.0,9850.5755,2.8948095,2.8948095,2016,
2016-05-11,26217RMFS,ОФЗ-ПД,1925,20000.0,94.2715,94.3583,9.08,9.05,43873.131,19999.998,19188.0530312,2.19365655,2.193656769365677,2016,
2016-05-18,26207RMFS,ОФЗ-ПД,3913,12765.576,96.25,96.4416,8.88,8.85,21911.473,12765.574,12570.71793647,1.716450005859509,1.7164502747780868,2016,
2016-05-18,24018RMFS,ОФЗ-ПК,588,12000.0,102.25,102.3209,10.68,10.63,17834.45,9373.882,10022.1729608,1.4862041666666668,1.902568220935574,2016,
2016-05-25,26218RMFS,ОФЗ-ПД,5593,10000.0,98.7111,98.7111,8.84,8.84,31772.239,10000.0,9985.21,3.1772239,3.1772239,2016,
2016-05-25,26217RMFS,ОФЗ-ПД,1911,10000.0,93.8575,93.961,9.19,9.17,10646.664,7080.97,6785.7658807,1.0646664,1.5035601054657766,2016,
2016-06-01,26218RMFS,ОФЗ-ПД,5586,15000.0,97.5,97.6846,8.99,8.97,10215.0,7465.0,7389.5026,0.681,1.3683858004018754,2016,
2016-06-01,29006RMFS,ОФЗ-ПК,3164,10000.0,105.55,105.6228,11.61,11.6,7900.0,4099.999999999999,4485.514,0.79,1.9268292682926833,2016,
2016-06-08,26217RMFS,ОФЗ-ПД,1897,10000.0,94.4,94.5002,9.06,9.03,39628.488,10000.0,9665.8157,3.9628488,3.9628488,2016,
2016-06-08,26218RMFS,ОФЗ-ПД,5579,17367.207000000002,99.4555,99.6243,8.75,8.72,30085.978,17367.206,17556.72596408,1.7323440666078314,1.732344166355832,2016,
2016-06-15,29011RMFS,ОФЗ-ПК,1323,10000.0,103.1602,103.2344,11.29,11.26,13349.059,6148.731,6618.21321513,1.3349059,2.171026672007606,2016,
2016-06-15,26217RMFS,ОФЗ-ПД,1890,15000.0,93.97,94.081,9.18,9.15,23403.861,15000.0,14457.4488,1.5602574,1.5602574,2016,
2016-06-22,26217RMFS,ОФЗ-ПД,1883,15000.0,95.3504,95.3736,8.82,8.81,33516.57199999999,15000.0,14672.786,2.2344381333333327,2.2344381333333327,2016,
2016-06-22,24018RMFS,ОФЗ-ПК,553,5000.0,101.905,101.9898,10.86,10.8,9537.0,5000.0,5386.69211,1.9074,1.9074,2016,
