date,structural_balance_bln
2019-01-01,-2711.9
2019-01-09,-2904.8
2019-01-10,-2836.3
2019-01-11,-3093.3
2019-01-14,-3146.1
2019-01-15,-3068.8
2019-01-16,-3186.3
2019-01-17,-2985.1
2019-01-18,-2914.0
2019-01-21,-2829.3
2019-01-22,-2914.0
2019-01-23,-3092.6
2019-01-24,-3124.0
2019-01-25,-2971.1
2019-01-28,-2140.5
2019-01-29,-2191.1
2019-01-30,-2447.6
2019-01-31,-2450.2
2019-02-01,-2660.7
2019-02-04,-2723.9
2019-02-05,-2800.5
2019-02-06,-2949.4
2019-02-07,-3103.0
2019-02-08,-3250.3
2019-02-11,-3418.1
2019-02-12,-3613.1
2019-02-13,-3629.8
2019-02-14,-3522.3
2019-02-15,-3458.5
2019-02-18,-3440.3
2019-02-19,-3423.4
2019-02-20,-3350.8
2019-02-21,-3392.9
2019-02-22,-3432.7
2019-02-25,-3410.8
2019-02-26,-2642.2
2019-02-27,-2915.3
2019-02-28,-2887.1
2019-03-01,-2969.5
2019-03-04,-3112.8
2019-03-05,-3127.8
2019-03-06,-3193.8
2019-03-07,-3374.2
2019-03-11,-3280.6
2019-03-12,-3477.0
2019-03-13,-3623.4
2019-03-14,-3607.4
2019-03-15,-3565.6
2019-03-18,-3462.7
2019-03-19,-3447.3
2019-03-20,-3467.6
2019-03-21,-3485.7
2019-03-22,-3567.4
2019-03-25,-3502.3
2019-03-26,-2868.2
2019-03-27,-2936.8
2019-03-28,-2925.5
2019-03-29,-2791.9
2019-04-01,-2887.2
2019-04-02,-2957.8
2019-04-03,-3277.8
2019-04-04,-3149.0
2019-04-05,-3162.5
2019-04-08,-3319.0
2019-04-09,-3208.5
2019-04-10,-3348.7
2019-04-11,-3193.1
2019-04-12,-3239.4
2019-04-15,-3241.4
2019-04-16,-3130.8
2019-04-17,-3235.1
2019-04-18,-3133.0
2019-04-19,-3119.0
2019-04-22,-3215.2
2019-04-23,-3329.7
2019-04-24,-3411.3
2019-04-25,-3152.7
2019-04-26,-2359.2
2019-04-29,-2374.5
2019-04-30,-2070.5
2019-05-06,-2675.7
2019-05-07,-2270.8
2019-05-08,-2482.0
2019-05-13,-2529.8
2019-05-14,-2583.2
2019-05-15,-2927.9
2019-05-16,-2725.9
2019-05-17,-2759.5
2019-05-20,-2786.5
2019-05-21,-2782.1
2019-05-22,-3009.3
2019-05-23,-2976.4
2019-05-24,-3019.9
2019-05-27,-2904.6
2019-05-28,-1965.2
2019-05-29,-1951.8
2019-05-30,-2145.0
2019-05-31,-2387.7
2019-06-03,-2497.6
2019-06-04,-2695.8
2019-06-05,-2799.4
2019-06-06,-2405.9
2019-06-07,-2439.8
2019-06-10,-2585.0
2019-06-11,-2599.9
2019-06-13,-2803.1
2019-06-14,-2772.4
2019-06-17,-2677.8
2019-06-18,-2638.1
2019-06-19,-2805.7
2019-06-20,-2975.8
2019-06-21,-3129.4
2019-06-24,-3189.2
2019-06-25,-2875.0
2019-06-26,-2276.6
2019-06-27,-2428.3
2019-06-28,-2415.3
2019-07-01,-2375.4
2019-07-02,-2602.3
2019-07-03,-2454.3
2019-07-04,-2508.1
2019-07-05,-2733.5
2019-07-08,-2466.1
2019-07-09,-2603.4
2019-07-10,-2549.9
2019-07-11,-2892.4
2019-07-12,-2795.7
2019-07-15,-2664.0
2019-07-16,-2520.4
2019-07-17,-2663.4
2019-07-18,-2723.8
2019-07-19,-2735.9
2019-07-22,-2956.2
2019-07-23,-3119.6
2019-07-24,-3156.4
2019-07-25,-3091.8
2019-07-26,-2259.0
2019-07-29,-2364.4
2019-07-30,-2166.5
2019-07-31,-2786.5
2019-08-01,-2969.8
2019-08-02,-2887.6
2019-08-05,-2998.8
2019-08-06,-3063.1
2019-08-07,-3200.5
2019-08-08,-3445.5
2019-08-09,-3405.2
2019-08-12,-3611.1
2019-08-13,-3651.4
2019-08-14,-3635.4
2019-08-15,-3596.1
2019-08-16,-3468.3
2019-08-19,-3510.8
2019-08-20,-3521.8
2019-08-21,-3709.8
2019-08-22,-3842.0
2019-08-23,-3688.2
2019-08-26,-3511.6
2019-08-27,-2757.0
2019-08-28,-2809.8
2019-08-29,-2806.6
2019-08-30,-3348.8
2019-09-02,-3093.7
2019-09-03,-3324.3
2019-09-04,-3614.5
2019-09-05,-3162.2
2019-09-06,-3284.9
2019-09-09,-3320.7
2019-09-10,-3439.7
2019-09-11,-3389.7
2019-09-12,-3424.3
2019-09-13,-3477.2
2019-09-16,-3500.6
2019-09-17,-3555.7
2019-09-18,-3597.8
2019-09-19,-3584.4
2019-09-20,-3602.9
2019-09-23,-3647.7
2019-09-24,-3695.0
2019-09-25,-3555.9
2019-09-26,-2718.1
2019-09-27,-2895.6
2019-09-30,-3278.0
2019-10-01,-3136.9
2019-10-02,-3336.4
2019-10-03,-3266.8
2019-10-04,-3456.7
2019-10-07,-3333.9
2019-10-08,-3490.0
2019-10-09,-3620.7
2019-10-10,-3485.6
2019-10-11,-3558.7
2019-10-14,-3606.4
2019-10-15,-3494.8
2019-10-16,-3763.9
2019-10-17,-3716.7
2019-10-18,-3751.3
2019-10-21,-3913.0
2019-10-22,-3781.5
2019-10-23,-3844.0
2019-10-24,-3740.8
2019-10-25,-3566.4
2019-10-28,-2531.7
2019-10-29,-2489.4
2019-10-30,-2813.4
2019-10-31,-2842.2
2019-11-01,-3034.6
2019-11-05,-2884.2
2019-11-06,-2990.9
2019-11-07,-3042.3
2019-11-08,-3282.8
2019-11-11,-3264.8
2019-11-12,-3402.7
2019-11-13,-3461.1
2019-11-14,-3475.0
2019-11-15,-3480.6
2019-11-18,-3351.1
2019-11-19,-3409.5
2019-11-20,-3470.3
2019-11-21,-3403.9
2019-11-22,-3500.3
2019-11-25,-3451.9
2019-11-26,-2669.2
2019-11-27,-2734.4
2019-11-28,-2898.7
2019-11-29,-2950.2
2019-12-02,-3051.6
2019-12-03,-3031.4
2019-12-04,-3082.5
2019-12-05,-3057.1
2019-12-06,-3145.9
2019-12-09,-3175.4
2019-12-10,-3056.6
2019-12-11,-3272.3
2019-12-12,-3156.8
2019-12-13,-3338.7
2019-12-16,-3242.8
2019-12-17,-3193.9
2019-12-18,-3343.3
2019-12-19,-2902.8
2019-12-20,-3030.3
2019-12-23,-3188.5
2019-12-24,-3185.1
2019-12-25,-3181.3
2019-12-26,-2280.9
2019-12-27,-2973.7
2019-12-30,-2998.5
2019-12-31,-2730.3
2020-01-01,-2958.8
2020-01-09,-3135.0
2020-01-10,-3137.2
2020-01-13,-3361.2
2020-01-14,-3232.4
2020-01-15,-3240.7
2020-01-16,-3220.3
2020-01-17,-3337.4
2020-01-20,-3442.1
2020-01-21,-3668.9
2020-01-22,-3809.9
2020-01-23,-3704.5
2020-01-24,-3805.1
2020-01-27,-3680.1
2020-01-28,-3078.5
2020-01-29,-3626.2
2020-01-30,-3634.5
2020-01-31,-3838.3
2020-02-03,-3834.9
2020-02-04,-3872.0
2020-02-05,-3987.8
2020-02-06,-3891.5
2020-02-07,-4083.0
2020-02-10,-4172.9
2020-02-11,-4038.7
2020-02-12,-4124.4
2020-02-13,-4108.9
2020-02-14,-4142.8
2020-02-17,-4066.1
2020-02-18,-4071.2
2020-02-19,-4221.3
2020-02-20,-4097.0
2020-02-21,-4163.7
2020-02-25,-4180.4
2020-02-26,-3299.0
2020-02-27,-3351.7
2020-02-28,-3432.4
2020-03-02,-3432.1
2020-03-03,-3411.3
2020-03-04,-3473.8
2020-03-05,-3701.2
2020-03-06,-3689.8
2020-03-10,-3874.2
2020-03-11,-4034.2
2020-03-12,-3922.7
2020-03-13,-3861.5
2020-03-16,-3743.9
2020-03-17,-3706.2
2020-03-18,-3656.2
2020-03-19,-3624.0
2020-03-20,-3577.8
2020-03-23,-3769.4
2020-03-24,-3708.4
2020-03-25,-3551.5
2020-03-26,-2852.7
2020-03-27,-2673.3
2020-03-30,-2543.4
2020-03-31,-2434.8
2020-04-01,-2492.1
2020-04-02,-2708.0
2020-04-03,-2655.0
2020-04-06,-2717.5
2020-04-07,-2738.5
2020-04-08,-2743.1
2020-04-09,-2392.9
2020-04-10,-2532.6
2020-04-13,-2585.4
2020-04-14,-2554.2
2020-04-15,-2534.7
2020-04-16,-2343.4
2020-04-17,-2451.6
2020-04-20,-2621.7
2020-04-21,-2485.7
2020-04-22,-2475.9
2020-04-23,-2326.6
2020-04-24,-2254.9
2020-04-27,-2112.0
2020-04-28,-1584.1
2020-04-29,-1333.0
2020-04-30,-1537.4
2020-05-01,-1872.7
2020-05-06,-1892.0
2020-05-07,-1850.6
2020-05-08,-1180.8
2020-05-12,-1422.4
2020-05-13,-1526.4
2020-05-14,-1771.8
2020-05-15,-1663.4
2020-05-18,-1660.1
2020-05-19,-1585.0
2020-05-20,-1701.0
2020-05-21,-1471.1
2020-05-22,-1670.9
2020-05-25,-1590.7
2020-05-26,-1386.9
2020-05-27,-1648.8
2020-05-28,-1879.4
2020-05-29,-1966.6
2020-06-01,-1719.2
2020-06-02,-1743.9
2020-06-03,-1781.8
2020-06-04,-1754.4
2020-06-05,-1633.3
2020-06-08,-1507.1
2020-06-09,-1646.9
2020-06-10,-1709.7
2020-06-11,-1778.9
2020-06-15,-1761.3
2020-06-16,-1652.0
2020-06-17,-1818.0
2020-06-18,-1446.4
2020-06-19,-1510.5
2020-06-22,-1557.1
2020-06-23,-1684.7
2020-06-25,-1608.0
2020-06-26,-943.3
2020-06-29,-1554.1
2020-06-30,-1912.9
2020-07-02,-2130.2
2020-07-03,-1941.1
2020-07-06,-2112.6
2020-07-07,-2131.9
2020-07-08,-1929.3
2020-07-09,-2087.5
2020-07-10,-2117.0
2020-07-13,-2171.8
2020-07-14,-2138.8
2020-07-15,-2008.0
2020-07-16,-1772.5
2020-07-17,-1765.7
2020-07-20,-1985.2
2020-07-21,-1998.2
2020-07-22,-2082.6
2020-07-23,-1990.5
2020-07-24,-2030.7
2020-07-27,-1976.4
2020-07-28,-1341.4
2020-07-29,-1270.8
2020-07-30,-1612.7
2020-07-31,-1756.1
2020-08-03,-2130.7
2020-08-04,-1812.7
2020-08-05,-1879.2
2020-08-06,-1808.2
2020-08-07,-1849.1
2020-08-10,-2065.5
2020-08-11,-2161.2
2020-08-12,-2241.8
