date,federal_funds_on_banks_bln
2012-02-01,1261
2012-03-01,2218
2012-04-01,1465
2012-05-01,1326
2012-06-01,2097
2012-07-01,1695
2012-08-01,1309
2012-09-01,1321
2012-10-01,1807
2012-11-01,1905
2012-12-01,1879
2013-01-01,3
2013-02-01,1648
2013-03-01,1684
2013-04-01,1450
2013-05-01,1615
2013-06-01,1716
2013-07-01,1965
2013-08-01,1279
2013-09-01,1476
2013-10-01,1682
2013-11-01,2217
2013-12-01,1858
2014-01-01,2
2014-02-01,1376
2014-03-01,1915
2014-04-01,1823
2014-05-01,2143
2014-06-01,2214
2014-07-01,2599
2014-08-01,2136
2014-09-01,2542
2014-10-01,2003
2014-11-01,2368
2014-12-01,2277
2015-01-01,4
2015-02-01,1969
2015-03-01,2498
2015-04-01,1800
2015-05-01,2382
2015-06-01,1924
2015-07-01,1997
2015-08-01,1586
2015-09-01,1933
2015-10-01,1780
2015-11-01,2159
2015-12-01,1941
2016-01-01,0
2016-02-01,1939
2016-03-01,1914
2016-04-01,1495
2016-05-01,1568
2016-06-01,2157
2016-07-01,1917
2016-08-01,1681
2016-09-01,1644
2016-10-01,1535
2016-11-01,1699
2016-12-01,1769
2017-01-01,1
2017-02-01,1665
2017-03-01,1764
2017-04-01,1259
2017-05-01,1468
2017-06-01,1504
2017-07-01,1251
2017-08-01,1292
2017-09-01,1453
2017-10-01,1848
2017-11-01,1638
2017-12-01,1757
2018-01-01,1
2018-02-01,1870
2018-03-01,1604
2018-04-01,1149
2018-05-01,1660
2018-06-01,1491
2018-07-01,1242
2018-08-01,1232
2018-09-01,1453
2018-10-01,1492
2018-11-01,1446
2018-12-01,1455
2019-01-01,2
2019-02-01,1477
2019-03-01,1417
2019-04-01,1243
2019-05-01,1473
2019-06-01,1260
2019-07-01,1487
2019-08-01,1429
2019-09-01,1803
2019-10-01,1815
2019-11-01,1584
2019-12-01,1896
2020-01-01,0
2020-02-01,1525
2020-03-01,1298
2020-04-01,1346
2020-05-01,1291
2020-06-01,1380
2020-07-01,1154
2020-08-01,1112
2020-09-01,1490
2020-10-01,1628
2020-11-01,1205
2020-12-01,1492
2021-01-01,2
2021-02-01,1498
2021-03-01,1390
2021-04-01,2235
2021-05-01,1650
2021-06-01,1863
2021-07-01,2323
2021-08-01,1274
2021-09-01,1798
2021-10-01,1771
2021-11-01,1946
2021-12-01,2695
2022-01-01,2
2022-02-01,1877
2022-03-01,1969
2022-04-01,1448
2022-05-01,1220
2022-06-01,1544
2022-07-01,1417
2022-08-01,1411
2022-09-01,1736
2022-10-01,1483
2022-11-01,1273
2022-12-01,1654
2023-01-01,48208
2023-02-01,43991
2023-03-01,42156
2023-04-01,33794
2023-05-01,24003
2023-06-01,21042
2023-07-01,16991
2023-08-01,15732
2023-09-01,14009
2023-10-01,13507
2023-11-01,12418
2023-12-01,12148
2024-01-01,9008
2024-02-01,10114
2024-03-01,7299
2024-04-01,6914
2024-05-01,7364
2024-06-01,6816
2024-07-01,6560
2024-08-01,6584
2024-09-01,5863
2024-10-01,4871
2024-11-01,4720
2024-12-01,4716
2025-01-01,3177
2025-02-01,4645
2025-03-01,4404
2025-04-01,4124
2025-05-01,4273
2025-06-01,4574
2025-07-01,4110
2025-08-01,4156
2025-09-01,4320
2025-10-01,4175
2025-11-01,4170
2025-12-01,4376
2026-01-01,2618
2026-02-01,2613
2026-03-01,2460
2026-04-01,2465
