type,term_days,date,time,volume_mln,rate_wavg,settlement,volume_bln
Репо,1,2010-01-11,11:30,43187.4,6.07,S0,43.187400000000004
Репо,364,2010-01-11,13:30,0.0,0.0,S2,0.0
Репо,1,2010-01-11,16:00,582.8,6.02,S0,0.5828
Репо,1,2010-01-12,16:00,1231.4,6.36,S0,1.2314
Репо,1,2010-01-12,11:30,33170.2,6.06,S0,33.170199999999994
Репо,7,2010-01-12,13:45,78127.6,6.08,S1,78.1276
Репо,1,2010-01-13,11:30,15577.2,6.07,S0,15.577200000000001
Репо,1,2010-01-13,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-14,11:30,9679.1,6.09,S0,9.6791
Репо,1,2010-01-14,16:00,0.0,0.0,S0,0.0
Репо,3,2010-01-15,11:30,9124.7,6.1,S0,9.1247
Репо,3,2010-01-15,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-18,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-18,11:30,8433.5,6.06,S0,8.4335
Репо,91,2010-01-18,13:30,0.0,0.0,S2,0.0
Репо,1,2010-01-19,11:30,8060.7,6.05,S0,8.0607
Репо,7,2010-01-19,13:45,48845.3,6.07,S1,48.8453
Репо,1,2010-01-19,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-20,11:30,8468.8,6.07,S0,8.4688
Репо,1,2010-01-20,16:00,281.7,6.09,S0,0.2817
Репо,1,2010-01-21,11:30,6067.3,6.06,S0,6.0673
Репо,1,2010-01-21,16:00,0.0,0.0,S0,0.0
Репо,3,2010-01-22,11:30,8758.0,6.11,S0,8.758
Репо,3,2010-01-22,16:00,37966.0,6.45,S0,37.966
Репо,1,2010-01-25,11:30,70009.4,6.47,S0,70.0094
Репо,182,2010-01-25,13:30,143.2,8.05,S2,0.1432
Репо,1,2010-01-25,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-26,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-26,11:30,52398.0,6.13,S0,52.398
Репо,7,2010-01-26,13:30,86322.9,6.15,S1,86.32289999999999
Репо,1,2010-01-27,11:30,13258.4,6.14,S0,13.2584
Репо,1,2010-01-27,16:00,0.0,0.0,S0,0.0
Репо,1,2010-01-28,11:30,14367.8,6.18,S0,14.367799999999999
Репо,1,2010-01-28,16:00,0.0,0.0,S0,0.0
Репо,3,2010-01-29,11:30,14445.1,6.14,S0,14.4451
Репо,3,2010-01-29,16:00,0.0,0.0,S0,0.0
Репо,1,2010-02-01,16:00,0.0,0.0,S0,0.0
Репо,84,2010-02-01,13:30,0.0,0.0,S2,0.0
Репо,1,2010-02-01,11:30,14930.1,6.11,S0,14.9301
Репо,1,2010-02-02,11:30,13468.6,6.12,S0,13.4686
Репо,7,2010-02-02,13:30,24144.9,6.09,S1,24.1449
Репо,1,2010-02-02,16:00,96.0,6.11,S0,0.096
Репо,1,2010-02-03,11:30,42862.5,6.09,S0,42.8625
Репо,1,2010-02-03,16:00,91.6,6.08,S0,0.0916
Репо,1,2010-02-04,11:30,39653.0,6.08,S0,39.653
Репо,1,2010-02-04,16:00,7.8,6.1,S0,0.0078
Репо,3,2010-02-05,16:00,0.0,0.0,S0,0.0
Репо,3,2010-02-05,11:30,31466.6,6.08,S0,31.4666
Репо,1,2010-02-08,16:00,0.0,0.0,S0,0.0
Репо,1,2010-02-08,11:30,21993.1,6.08,S0,21.9931
Репо,364,2010-02-08,13:30,0.0,0.0,S2,0.0
Репо,1,2010-02-09,11:30,5865.3,6.11,S0,5.8653
Репо,7,2010-02-09,13:45,19122.3,6.06,S1,19.1223
Репо,1,2010-02-09,16:00,3567.5,6.17,S0,3.5675
Репо,1,2010-02-10,11:30,9953.2,6.11,S0,9.9532
Репо,1,2010-02-10,16:00,0.0,0.0,S0,0.0
Репо,1,2010-02-11,11:30,7834.4,6.12,S0,7.8344
Репо,1,2010-02-11,16:00,0.0,0.0,S0,0.0
Репо,3,2010-02-12,11:30,8589.4,6.13,S0,8.5894
Репо,3,2010-02-12,16:00,503.2,6.2,S0,0.5032
Репо,1,2010-02-15,11:30,8861.6,6.15,S0,8.861600000000001
Репо,91,2010-02-15,13:30,0.0,0.0,S0,0.0
Репо,1,2010-02-15,16:00,481.8,6.22,S0,0.4818
Репо,1,2010-02-16,11:30,9420.3,6.15,S0,9.4203
Репо,7,2010-02-16,13:30,19622.5,6.08,S1,19.6225
Репо,1,2010-02-16,16:00,0.0,0.0,S0,0.0
Репо,1,2010-02-17,11:30,7662.9,6.16,S0,7.6629
Репо,1,2010-02-17,15:30,0.0,0.0,S0,0.0
Репо,1,2010-02-18,11:30,5881.8,6.15,S0,5.8818
Репо,1,2010-02-18,16:00,74.8,6.02,S0,0.07479999999999999
Репо,5,2010-02-19,11:30,6265.8,6.15,S0,6.2658000000000005
Репо,7,2010-02-19,13:30,49482.8,6.05,S1,49.482800000000005
Репо,5,2010-02-19,15:30,116.4,6.22,S0,0.1164
Репо,1,2010-02-24,11:30,7306.1,5.88,S0,7.306100000000001
Репо,1,2010-02-24,16:00,613.5,5.91,S0,0.6135
