Дата,"Объем спроса на операции репо, млн руб.","Общий объем заключенных сделок репо, млн руб.","Ставка отсечения, % годовых","Средневзвешенная ставка, % годовых","Минимальная заявленная ставка, % годовых","Максимальная заявленная ставка, % годовых","Объем заключенных сделок репо
					  в рамках лимита, млн руб.","Средневзвешенная ставка по заявкам, удовлетворенным в рамках лимита, % годовых","Срок, дни",Дата исполнения первой части сделки,Дата исполнения второй части сделки,cover_ratio
2010-01-12,1231.4,1231.4,,6.36,,,1231.4,6.36,1,,,1.0
2010-01-19,48845.3,48845.3,,6.07,,,48845.3,6.07,7,,,1.0
2010-01-26,86322.9,86322.9,,6.15,,,86322.9,6.15,7,,,1.0
2010-02-02,96.0,96.0,,6.11,,,96.0,6.11,1,,,1.0
2010-02-09,5498.0,3567.5,,6.17,,,3567.5,6.17,1,,,1.541135248773651
2010-02-16,19622.5,19622.5,,6.08,,,19622.5,6.08,7,,,1.0
2010-02-19,116.4,116.4,,6.22,,,116.4,6.22,5,,,1.0
2010-03-02,48410.5,48410.5,,5.86,,,48410.5,5.86,7,,,1.0
2010-03-09,288.5,288.5,,5.94,,,288.5,5.94,1,,,1.0
2010-03-16,1004.9,1004.9,,5.89,,,1004.9,5.89,1,,,1.0
2010-03-23,28105.0,28105.0,,5.93,,,28105.0,5.93,7,,,1.0
2010-03-30,840.8,840.8,,5.52,,,840.8,5.52,1,,,1.0
2010-04-06,356.8,329.0,,5.81,,,329.0,5.81,1,,,1.0844984802431612
2010-04-13,3677.8,3677.8,,5.59,,,3677.8,5.59,7,,,1.0
2010-04-20,3814.8,3814.8,,5.62,,,3814.8,5.62,7,,,1.0
2010-04-27,89.7,89.7,,5.77,,,89.7,5.77,1,,,1.0
2010-05-04,3928.4,3928.4,,5.35,,,3928.4,5.35,7,,,1.0
2010-05-11,167.5,167.5,,5.51,,,167.5,5.51,1,,,1.0
2010-05-18,1619.6,1619.6,,5.29,,,1619.6,5.29,7,,,1.0
2010-05-25,526.9,526.9,,5.32,,,526.9,5.32,1,,,1.0
2010-06-01,2244.3,2244.3,,5.11,,,2244.3,5.11,7,,,1.0
2010-06-08,2258.6,2258.6,,5.06,,,2258.6,5.06,7,,,1.0
2010-06-15,438.3,438.3,,5.05,,,438.3,5.05,1,,,1.0
2010-06-22,1085.4,1085.4,,5.04,,,1085.4,5.04,7,,,1.0
2010-06-29,9.1,9.1,,5.0,,,9.1,5.0,1,,,1.0
2010-07-06,2278.7,2278.7,,5.11,,,2278.7,5.11,7,,,1.0
2010-07-13,1928.7,1928.7,,5.08,,,1928.7,5.08,7,,,1.0
2010-07-20,3729.8,3729.8,,5.16,,,3729.8,5.16,7,,,1.0
2010-07-27,4265.3,4265.3,,5.14,,,4265.3,5.14,7,,,1.0
2010-08-03,4205.1,4205.1,,5.1,,,4205.1,5.1,7,,,1.0
2010-08-10,3660.5,3660.5,,5.11,,,3660.5,5.11,7,,,1.0
2010-08-17,2737.6,2737.6,,5.09,,,2737.6,5.09,7,,,1.0
2010-08-24,2060.4,2060.4,,5.08,,,2060.4,5.08,7,,,1.0
2010-08-31,1547.1,1547.1,,5.09,,,1547.1,5.09,7,,,1.0
2010-09-07,520.1,520.1,,5.07,,,520.1,5.07,7,,,1.0
2010-09-14,617.3,617.3,,5.04,,,617.3,5.04,7,,,1.0
2010-09-21,618.4,618.4,,5.04,,,618.4,5.04,7,,,1.0
2010-09-28,100.8,100.8,,5.04,,,100.8,5.04,7,,,1.0
2010-10-05,90.6,90.6,,5.04,,,90.6,5.04,7,,,1.0
2010-10-12,67.4,67.4,,5.03,,,67.4,5.03,7,,,1.0
2010-10-19,116.6,116.6,,5.07,,,116.6,5.07,7,,,1.0
2010-10-26,239.3,239.3,,5.18,,,239.3,5.18,7,,,1.0
2010-11-02,229.5,229.5,,5.1,,,229.5,5.1,7,,,1.0
2010-11-23,983.7,983.7,,5.06,,,983.7,5.06,1,,,1.0
2010-11-30,3175.1,1260.5,,6.7,,,54.2,5.48,1,,,2.51892106307021
2010-12-07,5705.2,5705.2,,5.21,,,5705.2,5.21,1,,,1.0
2011-05-03,2292.7,2292.7,,5.62,,,2292.7,5.62,1,,,1.0
2011-05-31,253.8,253.8,,5.53,,,253.8,5.53,1,,,1.0
2011-06-28,1985.1,1985.1,,5.5,,,1985.1,5.5,1,,,1.0
2011-08-09,617.4,617.4,,5.55,,,617.4,5.55,1,,,1.0
2011-08-16,1261.4,1261.4,,5.53,,,1261.4,5.53,1,,,1.0
2011-08-23,57.2,57.2,,5.57,,,57.2,5.57,1,,,1.0
2011-08-30,1427.3,1427.3,,5.51,,,1427.3,5.51,1,,,1.0
2011-09-06,140.0,140.0,,5.6,,,140.0,5.6,1,,,1.0
2011-09-13,384.9,384.9,,5.5,,,384.9,5.5,1,,,1.0
2011-09-20,2520.5,2520.5,,5.29,,,2520.5,5.29,1,,,1.0
2011-09-27,26409.0,26409.0,,5.28,,,26409.0,5.28,1,,,1.0
2011-10-04,4930.6,4930.6,,5.26,,,4930.6,5.26,1,,,1.0
2011-10-11,168276.1,54158.7,,5.32,,,54158.7,5.32,1,,,3.10709267393789
2011-10-18,7970.0,7970.0,,5.29,,,7970.0,5.29,1,,,1.0
2011-10-25,107986.7,107986.7,,5.28,,,107986.7,5.28,1,,,1.0
2011-11-01,71215.3,71215.3,,5.26,,,71215.3,5.26,1,,,1.0
2011-11-08,70763.5,70763.5,,5.26,,,70763.5,5.26,1,,,1.0
2011-11-15,17352.8,17352.8,,5.31,,,17352.8,5.31,1,,,1.0
2011-11-22,16844.1,16844.1,,5.27,,,16844.1,5.27,1,,,1.0
2011-11-29,51845.8,21246.7,,5.61,,,21246.7,5.61,1,,,2.4401812987428637
2011-12-06,5210.6,154.9,,5.84,,,154.9,5.84,1,,,33.63847643641059
2011-12-13,13886.3,6255.8,,5.79,,,6255.8,5.79,1,,,2.219748073787525
2011-12-20,3342.8,444.6,,6.49,,,300.3,6.49,1,,,7.518668466036887
2012-01-10,2278.6,100.0,,6.25,,,0.0,,1,,,22.785999999999998
2012-01-17,175.1,175.1,,5.311,,,175.1,5.311,1,,,1.0
2012-01-24,19313.5,15585.9,,5.4578,,,15585.9,5.4578,1,,,1.239164886211255
