date,auction_format,issue,Тип бумаги,Дата погашения,Дней до погашения,offer_volume,Цена отсечения,Цена средне-взвешенная,Доходность по цене отсечения,avg_yield,demand_volume,placement_volume,Объем выручки,Коэффициент удовлетворения спроса на аукционе,cover_ratio,bid_cover
2026-01-14,Аукцион,26253RMFS,ОФЗ-ПД,2038-10-06,4 648,674231.1,91.4983,91.5200,14.99,14.99,44396.3,13460.9,12 726.9,0.3032,3.298167284505494,0.06584730369156808
2026-01-14,Аукцион,26225RMFS,ОФЗ-ПД,2034-05-10,3 038,43860.6,66.3191,66.3382,14.80,14.8,25897.1,13651.9,9 211.0,0.5272,1.896959397593009,0.5904410792374021
2026-01-21,Аукцион,26228RMFS,ОФЗ-ПД,2030-04-10,1 540,100000.0,79.8112,79.8785,14.66,14.64,56940.6,14949.8,12 251.9,0.2626,3.808786739621935,0.569406
2026-01-21,Аукцион,26230RMFS,ОФЗ-ПД,2039-03-16,4 802,88953.9,61.6841,61.7155,14.71,14.71,74557.8,50860.7,32 601.5,0.6822,1.4659216251447582,0.8381622390923839
2026-01-21,ДРПА,26230RMFS,ОФЗ-ПД,2039-03-16,4 802,12823.2,61.7155,61.7155,14.71,14.71,,9145.3,5 862.1,-,,
2026-01-28,Аукцион,26254RMFS,ОФЗ-ПД,2040-10-03,5 362,921781.0,90.6718,90.7655,15.07,15.06,77644.7,59568.8,56 168.3,0.7672,1.3034457635540753,0.08423334826818951
2026-01-28,Аукцион,26235RMFS,ОФЗ-ПД,2031-03-12,1 869,100000.0,70.0000,70.0004,14.89,14.89,46170.6,18894.1,13 635.2,0.4092,2.4436517219661167,0.461706
2026-01-28,ДРПА,26254RMFS,ОФЗ-ПД,2040-10-03,5 362,11568.0,90.7655,90.7655,15.06,15.06,,3820.8,3 602.7,-,,
2026-02-04,Аукцион,26253RMFS,ОФЗ-ПД,2038-10-06,4 627,660770.2,91.0655,91.0998,15.08,15.08,89744.5,22332.0,21 187.5,0.2488,4.0186503671861,0.13581801963829485
2026-02-04,Аукцион,26251RMFS,ОФЗ-ПД,2030-08-28,1 666,80047.5,-****,-****,-****,,294005.2,0.0,0.0,0.0000,,3.6728842249914115
2026-02-04,ДРПА,26253RMFS,ОФЗ-ПД,2038-10-06,4 627,49297.6,91.0998,91.0998,15.08,15.08,,32360.5,30 702.0,-,,
2026-02-11,ДРПА,26249RMFS,ОФЗ-ПД,2032-06-16,2 317,79492.0,85.0175,85.0175,15.24,15.24,,75671.7,65 474.5,-,,
2026-02-11,Аукцион,26250RMFS,ОФЗ-ПД,2037-06-10,4 137,290122.8,84.8582,84.9036,15.33,15.32,80100.6,48461.1,41 941.9,0.6050,1.652884478478615,0.27609205481265175
2026-02-11,Аукцион,26249RMFS,ОФЗ-ПД,2032-06-16,2 317,500000.0,84.9792,85.0175,15.25,15.24,224970.5,66031.2,57 133.2,0.2935,3.4070333418141727,0.449941
2026-02-18,Аукцион,26254RMFS,ОФЗ-ПД,2040-10-03,5 341,858391.4,92.3680,92.5204,14.75,14.73,289092.5,255146.9,246 967.9,0.8826,1.13304335659183,0.33678401251457085
2026-02-18,Аукцион,26245RMFS,ОФЗ-ПД,2035-09-26,3 507,500000.0,88.4010,88.4338,14.75,14.75,118274.1,72276.1,67 101.0,0.6111,1.6364206148367164,0.23654820000000001
2026-02-25,Аукцион,26253RMFS,ОФЗ-ПД,2038-10-06,4 606,606077.7,92.7450,92.7557,14.75,14.75,104830.2,27180.1,26 440.4,0.2593,3.856873227103653,0.1729649515235423
2026-02-25,Аукцион,26252RMFS,ОФЗ-ПД,2033-10-12,2 786,501090.0,91.9476,91.9930,14.76,14.75,136772.4,102210.2,98 471.4,0.7473,1.3381482474351876,0.27294976950248456
2026-02-25,ДРПА,26253RMFS,ОФЗ-ПД,2038-10-06,4 606,59446.3,92.7557,92.7557,14.75,14.75,,46804.7,45 531.0,-,,
2026-03-04,ДРПА,26218RMFS,ОФЗ-ПД,2031-09-17,2 023,24382.5,78.5783,78.5783,14.72,14.72,,13631.1,11 225.3,-,,
2026-03-04,Аукцион,26246RMFS,ОФЗ-ПД,2036-03-12,3 661,250000.0,87.6939,87.7501,14.86,14.85,102256.2,78084.7,72 678.2,0.7636,1.3095548807897066,0.40902479999999997
2026-03-04,Аукцион,26218RMFS,ОФЗ-ПД,2031-09-17,2 023,250000.0,78.5500,78.5783,14.73,14.72,137465.1,49756.0,40 974.2,0.3620,2.762784387812525,0.5498604
2026-03-11,Аукцион,26244RMFS,ОФЗ-ПД,2034-03-15,2 926,500000.0,85.6648,85.7449,14.82,14.8,86889.1,64791.9,58 930.7,0.7457,1.3410488039399988,0.17377820000000002
2026-03-11,Аукцион,26254RMFS,ОФЗ-ПД,2040-10-03,5 320,603244.6,91.5952,91.6722,14.90,14.89,92562.8,74874.1,72 398.9,0.8089,1.2362459114700544,0.15344157245667844
2026-03-18,Аукцион,26238RMFS,ОФЗ-ПД,2041-05-15,5 537,277928.2,59.9162,59.9311,13.75,13.75,108954.4,86313.3,53 508.3,0.7922,1.2623129923198393,0.39202355140644235
2026-03-18,Аукцион,26250RMFS,ОФЗ-ПД,2037-06-10,4 102,241661.8,88.0150,88.0171,14.65,14.65,172212.1,66653.6,60 529.5,0.3870,2.5836879028289546,0.7126161437182046
