date,auction_id,currency,funds_type,max_vol_mln,term_days,date_start,date_end,rate_type,total_bid_mln,total_accept_mln,total_settle_mln,wa_rate,n_bidders,n_accepted,cover_ratio
2026-04-23,22026115,рубли,средства единого казначейского счёта,100000,4,23.04.2026,27.04.2026,FIXED,215000,100000,100000,14.48,3,1,2.15
2026-04-23,22026116,рубли,средства единого казначейского счёта,20000,287,23.04.2026,04.02.2027,FLOATING,85000,20000,20000,0.5,5,2,4.25
2026-04-24,22026117,рубли,средства единого казначейского счёта,250000,10,24.04.2026,04.05.2026,FLOATING,700000,250000,250000,0.5,3,2,2.8
2026-04-27,22026121,рубли,средства единого казначейского счёта,1010000,2,27.04.2026,29.04.2026,FIXED,1622088,1010000,1010000,13.86,2,2,1.6060277227722772
2026-04-27,22026118,рубли,средства единого казначейского счёта,288000,8,27.04.2026,05.05.2026,FLOATING,856000,288000,288000,0.7,5,2,2.9722222222222223
2026-04-27,22026119,рубли,средства единого казначейского счёта,50000,15,27.04.2026,12.05.2026,FLOATING,175000,50000,50000,0.01,5,5,3.5
2026-04-27,22026120,рубли,средства единого казначейского счёта,50000,35,27.04.2026,01.06.2026,FLOATING,215000,50000,50000,0.78,6,2,4.3
2026-04-28,22026125,рубли,средства единого казначейского счёта,1610000,2,28.04.2026,30.04.2026,FIXED,1670000,1610000,1610000,13.85,2,2,1.0372670807453417
2026-04-28,22026122,рубли,средства единого казначейского счёта,1328000,2,28.04.2026,30.04.2026,FIXED,1594834,1328000,1328000,13.85,5,5,1.20092921686747
2026-04-28,22026123,рубли,средства единого казначейского счёта,200000,8,28.04.2026,06.05.2026,FLOATING,290000,200000,200000,0.01,5,5,1.45
2026-04-28,22026124,рубли,средства единого казначейского счёта,50000,35,28.04.2026,02.06.2026,FLOATING,140000,50000,50000,0.62,5,2,2.8
2026-04-29,22026128,рубли,средства единого казначейского счёта,110000,5,29.04.2026,04.05.2026,FIXED,270000,110000,110000,14.39,4,1,2.4545454545454546
2026-04-29,22026126,рубли,средства единого казначейского счёта,20000,5,29.04.2026,04.05.2026,FIXED,71000,20000,20000,14.41,5,1,3.55
2026-04-29,22026127,рубли,средства единого казначейского счёта,50000,35,29.04.2026,03.06.2026,FLOATING,208688,50000,50000,0.62,7,2,4.17376
2026-04-30,22026133,рубли,средства единого казначейского счёта,760000,5,30.04.2026,05.05.2026,FIXED,760000,760000,760000,13.85,1,1,1.0
2026-04-30,22026129,рубли,средства единого казначейского счёта,478000,5,30.04.2026,05.05.2026,FIXED,639000,478000,478000,13.86,5,5,1.3368200836820083
2026-04-30,22026130,рубли,средства единого казначейского счёта,600000,7,30.04.2026,07.05.2026,FIXED,1059433,600000,600000,13.88,9,9,1.7657216666666666
2026-04-30,22026131,рубли,средства единого казначейского счёта,400000,14,30.04.2026,14.05.2026,FLOATING,634000,400000,400000,0.01,4,4,1.585
2026-04-30,22026132,рубли,средства единого казначейского счёта,200000,35,30.04.2026,04.06.2026,FLOATING,390000,200000,200000,0.01,5,5,1.95
2026-05-04,22026136,рубли,средства единого казначейского счёта,100000,2,04.05.2026,06.05.2026,FIXED,200000,100000,100000,13.86,2,1,2.0
2026-05-04,22026134,рубли,средства единого казначейского счёта,250000,2,04.05.2026,06.05.2026,FIXED,500000,250000,250000,13.85,3,3,2.0
2026-05-04,22026135,рубли,средства единого казначейского счёта,50000,35,04.05.2026,08.06.2026,FLOATING,100000,50000,50000,0.2,2,2,2.0
2026-05-05,22026137,рубли,средства единого казначейского счёта,600000,2,05.05.2026,07.05.2026,FIXED,721159,600000,600000,13.85,4,4,1.2019316666666666
2026-05-05,22026138,рубли,средства единого казначейского счёта,200000,7,05.05.2026,12.05.2026,FIXED,492000,200000,200000,13.96,5,3,2.46
2026-05-05,22026141,рубли,средства единого казначейского счёта,100000,14,05.05.2026,19.05.2026,FLOATING,174143,100000,100000,0.02,3,3,1.74143
2026-05-05,22026139,рубли,средства единого казначейского счёта,50000,35,05.05.2026,09.06.2026,FLOATING,140000,50000,50000,0.2,4,4,2.8
2026-05-05,22026140,рубли,средства единого казначейского счёта,20000,364,05.05.2026,04.05.2027,FLOATING,60000,20000,20000,0.6,3,2,3.0
2026-05-06,22026142,рубли,средства единого казначейского счёта,98000,2,06.05.2026,08.05.2026,FIXED,120500,98000,98000,13.85,2,2,1.2295918367346939
2026-05-06,22026143,рубли,средства единого казначейского счёта,200000,7,06.05.2026,13.05.2026,FIXED,414166,200000,200000,13.86,4,3,2.07083
2026-05-06,22026144,рубли,средства единого казначейского счёта,50000,35,06.05.2026,10.06.2026,FLOATING,186983,50000,50000,0.2,6,4,3.73966
2026-05-07,22026145,рубли,средства единого казначейского счёта,600000,5,07.05.2026,12.05.2026,FIXED,754916,600000,600000,13.85,4,4,1.2581933333333333
2026-05-07,22026146,рубли,средства единого казначейского счёта,500000,14,07.05.2026,21.05.2026,FLOATING,858494,500000,500000,0.02,6,6,1.716988
2026-05-07,22026147,рубли,средства единого казначейского счёта,50000,35,07.05.2026,11.06.2026,FLOATING,165000,50000,50000,0.5,5,2,3.3
2026-05-07,22026148,рубли,средства единого казначейского счёта,20000,280,07.05.2026,11.02.2027,FLOATING,50000,20000,20000,0.5,3,3,2.5
2026-05-08,22026150,рубли,средства единого казначейского счёта,148000,4,08.05.2026,12.05.2026,FIXED,75952,75952,75952,13.85,2,2,1.0
2026-05-08,22026149,рубли,средства единого казначейского счёта,50000,5,08.05.2026,13.05.2026,FIXED,200000,50000,50000,14.16,4,1,4.0
