date,category,value_bln
2012-02-01,"Остатки бюджетных средств на счетах, всего",14914
2012-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,537
2012-02-01,средства внебюджетных фондов,4569
2012-02-01,средства прочих бюджетных средств,8546
2012-02-01,средства федерального бюджета,1261
2012-03-01,"Остатки бюджетных средств на счетах, всего",17523
2012-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,468
2012-03-01,средства внебюджетных фондов,4336
2012-03-01,средства прочих бюджетных средств,10501
2012-03-01,средства федерального бюджета,2218
2012-04-01,"Остатки бюджетных средств на счетах, всего",15193
2012-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,231
2012-04-01,средства внебюджетных фондов,4240
2012-04-01,средства прочих бюджетных средств,9257
2012-04-01,средства федерального бюджета,1465
2012-05-01,"Остатки бюджетных средств на счетах, всего",15945
2012-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,473
2012-05-01,средства внебюджетных фондов,3338
2012-05-01,средства прочих бюджетных средств,10809
2012-05-01,средства федерального бюджета,1326
2012-06-01,"Остатки бюджетных средств на счетах, всего",18643
2012-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,368
2012-06-01,средства внебюджетных фондов,4636
2012-06-01,средства прочих бюджетных средств,11543
2012-06-01,средства федерального бюджета,2097
2012-07-01,"Остатки бюджетных средств на счетах, всего",18735
2012-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,339
2012-07-01,средства внебюджетных фондов,4370
2012-07-01,средства прочих бюджетных средств,12332
2012-07-01,средства федерального бюджета,1695
2012-08-01,"Остатки бюджетных средств на счетах, всего",18987
2012-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,829
2012-08-01,средства внебюджетных фондов,4600
2012-08-01,средства прочих бюджетных средств,12250
2012-08-01,средства федерального бюджета,1309
2012-09-01,"Остатки бюджетных средств на счетах, всего",20878
2012-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,919
2012-09-01,средства внебюджетных фондов,4847
2012-09-01,средства прочих бюджетных средств,13791
2012-09-01,средства федерального бюджета,1321
2012-10-01,"Остатки бюджетных средств на счетах, всего",18922
2012-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,853
2012-10-01,средства внебюджетных фондов,3668
2012-10-01,средства прочих бюджетных средств,12594
2012-10-01,средства федерального бюджета,1807
2012-11-01,"Остатки бюджетных средств на счетах, всего",19399
2012-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,697
2012-11-01,средства внебюджетных фондов,3537
2012-11-01,средства прочих бюджетных средств,13260
2012-11-01,средства федерального бюджета,1905
2012-12-01,"Остатки бюджетных средств на счетах, всего",20714
2012-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,509
2012-12-01,средства внебюджетных фондов,4778
2012-12-01,средства прочих бюджетных средств,13548
2012-12-01,средства федерального бюджета,1879
2013-01-01,"Остатки бюджетных средств на счетах, всего",15594
2013-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,327
2013-01-01,средства внебюджетных фондов,1552
2013-01-01,средства прочих бюджетных средств,13712
2013-01-01,средства федерального бюджета,3
2013-02-01,"Остатки бюджетных средств на счетах, всего",15020
2013-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,642
2013-02-01,средства внебюджетных фондов,2916
2013-02-01,средства прочих бюджетных средств,9815
2013-02-01,средства федерального бюджета,1648
2013-03-01,"Остатки бюджетных средств на счетах, всего",15632
2013-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,440
2013-03-01,средства внебюджетных фондов,2648
2013-03-01,средства прочих бюджетных средств,10860
2013-03-01,средства федерального бюджета,1684
2013-04-01,"Остатки бюджетных средств на счетах, всего",15670
2013-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,506
2013-04-01,средства внебюджетных фондов,2941
2013-04-01,средства прочих бюджетных средств,10773
2013-04-01,средства федерального бюджета,1450
2013-05-01,"Остатки бюджетных средств на счетах, всего",18760
2013-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,729
2013-05-01,средства внебюджетных фондов,4519
2013-05-01,средства прочих бюджетных средств,11896
2013-05-01,средства федерального бюджета,1615
2013-06-01,"Остатки бюджетных средств на счетах, всего",18080
2013-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,562
2013-06-01,средства внебюджетных фондов,3599
2013-06-01,средства прочих бюджетных средств,12204
2013-06-01,средства федерального бюджета,1716
2013-07-01,"Остатки бюджетных средств на счетах, всего",18450
2013-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,1162
2013-07-01,средства внебюджетных фондов,3692
2013-07-01,средства прочих бюджетных средств,11632
2013-07-01,средства федерального бюджета,1965
2013-08-01,"Остатки бюджетных средств на счетах, всего",19089
2013-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2258
2013-08-01,средства внебюджетных фондов,3837
2013-08-01,средства прочих бюджетных средств,11715
2013-08-01,средства федерального бюджета,1279
2013-09-01,"Остатки бюджетных средств на счетах, всего",19473
2013-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2083
2013-09-01,средства внебюджетных фондов,4318
2013-09-01,средства прочих бюджетных средств,11596
2013-09-01,средства федерального бюджета,1476
2013-10-01,"Остатки бюджетных средств на счетах, всего",19690
2013-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,647
2013-10-01,средства внебюджетных фондов,5120
2013-10-01,средства прочих бюджетных средств,12241
2013-10-01,средства федерального бюджета,1682
2013-11-01,"Остатки бюджетных средств на счетах, всего",17415
2013-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,616
2013-11-01,средства внебюджетных фондов,2239
2013-11-01,средства прочих бюджетных средств,12343
2013-11-01,средства федерального бюджета,2217
2013-12-01,"Остатки бюджетных средств на счетах, всего",17436
2013-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,557
2013-12-01,средства внебюджетных фондов,1827
2013-12-01,средства прочих бюджетных средств,13194
2013-12-01,средства федерального бюджета,1858
2014-01-01,"Остатки бюджетных средств на счетах, всего",12843
2014-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,337
2014-01-01,средства внебюджетных фондов,236
2014-01-01,средства прочих бюджетных средств,12268
2014-01-01,средства федерального бюджета,2
2014-02-01,"Остатки бюджетных средств на счетах, всего",15540
2014-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,761
2014-02-01,средства внебюджетных фондов,210
2014-02-01,средства прочих бюджетных средств,13192
2014-02-01,средства федерального бюджета,1376
2014-03-01,"Остатки бюджетных средств на счетах, всего",16393
2014-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,395
2014-03-01,средства внебюджетных фондов,204
2014-03-01,средства прочих бюджетных средств,13879
2014-03-01,средства федерального бюджета,1915
2014-04-01,"Остатки бюджетных средств на счетах, всего",15679
2014-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,370
2014-04-01,средства внебюджетных фондов,170
2014-04-01,средства прочих бюджетных средств,13317
2014-04-01,средства федерального бюджета,1823
2014-05-01,"Остатки бюджетных средств на счетах, всего",17656
2014-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,587
2014-05-01,средства внебюджетных фондов,165
2014-05-01,средства прочих бюджетных средств,14760
2014-05-01,средства федерального бюджета,2143
2014-06-01,"Остатки бюджетных средств на счетах, всего",19011
2014-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,410
2014-06-01,средства внебюджетных фондов,152
2014-06-01,средства прочих бюджетных средств,16235
2014-06-01,средства федерального бюджета,2214
2014-07-01,"Остатки бюджетных средств на счетах, всего",19912
2014-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,478
2014-07-01,средства внебюджетных фондов,148
2014-07-01,средства прочих бюджетных средств,16687
2014-07-01,средства федерального бюджета,2599
2014-08-01,"Остатки бюджетных средств на счетах, всего",20192
2014-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2568
2014-08-01,средства внебюджетных фондов,147
2014-08-01,средства прочих бюджетных средств,15341
2014-08-01,средства федерального бюджета,2136
2014-09-01,"Остатки бюджетных средств на счетах, всего",21101
2014-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2609
2014-09-01,средства внебюджетных фондов,356
2014-09-01,средства прочих бюджетных средств,15594
2014-09-01,средства федерального бюджета,2542
2014-10-01,"Остатки бюджетных средств на счетах, всего",18161
2014-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,470
2014-10-01,средства внебюджетных фондов,349
2014-10-01,средства прочих бюджетных средств,15339
2014-10-01,средства федерального бюджета,2003
2014-11-01,"Остатки бюджетных средств на счетах, всего",18064
2014-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,509
2014-11-01,средства внебюджетных фондов,335
2014-11-01,средства прочих бюджетных средств,14853
2014-11-01,средства федерального бюджета,2368
2014-12-01,"Остатки бюджетных средств на счетах, всего",18319
2014-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,284
2014-12-01,средства внебюджетных фондов,337
2014-12-01,средства прочих бюджетных средств,15422
2014-12-01,средства федерального бюджета,2277
2015-01-01,"Остатки бюджетных средств на счетах, всего",14404
2015-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,341
2015-01-01,средства внебюджетных фондов,79
2015-01-01,средства прочих бюджетных средств,13980
2015-01-01,средства федерального бюджета,4
2015-02-01,"Остатки бюджетных средств на счетах, всего",15948
2015-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,377
2015-02-01,средства внебюджетных фондов,98
2015-02-01,средства прочих бюджетных средств,13504
2015-02-01,средства федерального бюджета,1969
2015-03-01,"Остатки бюджетных средств на счетах, всего",16208
2015-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,226
2015-03-01,средства внебюджетных фондов,103
2015-03-01,средства прочих бюджетных средств,13381
2015-03-01,средства федерального бюджета,2498
2015-04-01,"Остатки бюджетных средств на счетах, всего",16122
2015-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,276
2015-04-01,средства внебюджетных фондов,119
2015-04-01,средства прочих бюджетных средств,13927
2015-04-01,средства федерального бюджета,1800
2015-05-01,"Остатки бюджетных средств на счетах, всего",14617
2015-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,105
2015-05-01,средства внебюджетных фондов,119
2015-05-01,средства прочих бюджетных средств,12012
2015-05-01,средства федерального бюджета,2382
2015-06-01,"Остатки бюджетных средств на счетах, всего",12418
2015-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,257
2015-06-01,средства внебюджетных фондов,112
2015-06-01,средства прочих бюджетных средств,10126
2015-06-01,средства федерального бюджета,1924
2015-07-01,"Остатки бюджетных средств на счетах, всего",12293
2015-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,562
2015-07-01,средства внебюджетных фондов,111
2015-07-01,средства прочих бюджетных средств,9623
2015-07-01,средства федерального бюджета,1997
2015-08-01,"Остатки бюджетных средств на счетах, всего",10714
2015-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2000
2015-08-01,средства внебюджетных фондов,112
2015-08-01,средства прочих бюджетных средств,7016
2015-08-01,средства федерального бюджета,1586
2015-09-01,"Остатки бюджетных средств на счетах, всего",10509
2015-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2175
2015-09-01,средства внебюджетных фондов,107
2015-09-01,средства прочих бюджетных средств,6294
2015-09-01,средства федерального бюджета,1933
2015-10-01,"Остатки бюджетных средств на счетах, всего",8525
2015-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,264
2015-10-01,средства внебюджетных фондов,71
2015-10-01,средства прочих бюджетных средств,6409
2015-10-01,средства федерального бюджета,1780
2015-11-01,"Остатки бюджетных средств на счетах, всего",8587
2015-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,121
2015-11-01,средства внебюджетных фондов,72
2015-11-01,средства прочих бюджетных средств,6234
2015-11-01,средства федерального бюджета,2159
2015-12-01,"Остатки бюджетных средств на счетах, всего",8616
2015-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,100
2015-12-01,средства внебюджетных фондов,78
2015-12-01,средства прочих бюджетных средств,6498
2015-12-01,средства федерального бюджета,1941
2016-01-01,"Остатки бюджетных средств на счетах, всего",4597
2016-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,211
2016-01-01,средства внебюджетных фондов,72
2016-01-01,средства прочих бюджетных средств,4313
2016-01-01,средства федерального бюджета,0
2016-02-01,"Остатки бюджетных средств на счетах, всего",6703
2016-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,154
2016-02-01,средства внебюджетных фондов,85
2016-02-01,средства прочих бюджетных средств,4525
2016-02-01,средства федерального бюджета,1939
2016-03-01,"Остатки бюджетных средств на счетах, всего",6712
2016-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,112
2016-03-01,средства внебюджетных фондов,88
2016-03-01,средства прочих бюджетных средств,4598
2016-03-01,средства федерального бюджета,1914
2016-04-01,"Остатки бюджетных средств на счетах, всего",6650
2016-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,218
2016-04-01,средства внебюджетных фондов,69
2016-04-01,средства прочих бюджетных средств,4869
2016-04-01,средства федерального бюджета,1495
2016-05-01,"Остатки бюджетных средств на счетах, всего",6846
2016-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,76
2016-05-01,средства внебюджетных фондов,72
2016-05-01,средства прочих бюджетных средств,5130
2016-05-01,средства федерального бюджета,1568
2016-06-01,"Остатки бюджетных средств на счетах, всего",7045
2016-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,92
2016-06-01,средства внебюджетных фондов,74
2016-06-01,средства прочих бюджетных средств,4723
2016-06-01,средства федерального бюджета,2157
2016-07-01,"Остатки бюджетных средств на счетах, всего",6574
2016-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,238
2016-07-01,средства внебюджетных фондов,59
2016-07-01,средства прочих бюджетных средств,4360
2016-07-01,средства федерального бюджета,1917
2016-08-01,"Остатки бюджетных средств на счетах, всего",10648
2016-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,1686
2016-08-01,средства внебюджетных фондов,59
2016-08-01,средства прочих бюджетных средств,7222
2016-08-01,средства федерального бюджета,1681
2016-09-01,"Остатки бюджетных средств на счетах, всего",11945
2016-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,2090
2016-09-01,средства внебюджетных фондов,54
2016-09-01,средства прочих бюджетных средств,8157
2016-09-01,средства федерального бюджета,1644
2016-10-01,"Остатки бюджетных средств на счетах, всего",6700
2016-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,386
2016-10-01,средства внебюджетных фондов,58
2016-10-01,средства прочих бюджетных средств,4721
2016-10-01,средства федерального бюджета,1535
2016-11-01,"Остатки бюджетных средств на счетах, всего",6804
2016-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,53
2016-11-01,средства внебюджетных фондов,67
2016-11-01,средства прочих бюджетных средств,4984
2016-11-01,средства федерального бюджета,1699
2016-12-01,"Остатки бюджетных средств на счетах, всего",6959
2016-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,111
2016-12-01,средства внебюджетных фондов,67
2016-12-01,средства прочих бюджетных средств,5011
2016-12-01,средства федерального бюджета,1769
2017-01-01,"Остатки бюджетных средств на счетах, всего",3931
2017-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,26
2017-01-01,средства внебюджетных фондов,66
2017-01-01,средства прочих бюджетных средств,3838
2017-01-01,средства федерального бюджета,1
2017-02-01,"Остатки бюджетных средств на счетах, всего",5652
2017-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,109
2017-02-01,средства внебюджетных фондов,64
2017-02-01,средства прочих бюджетных средств,3815
2017-02-01,средства федерального бюджета,1665
2017-03-01,"Остатки бюджетных средств на счетах, всего",5854
2017-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,67
2017-03-01,средства внебюджетных фондов,64
2017-03-01,средства прочих бюджетных средств,3959
2017-03-01,средства федерального бюджета,1764
2017-04-01,"Остатки бюджетных средств на счетах, всего",6011
2017-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,132
2017-04-01,средства внебюджетных фондов,65
2017-04-01,средства прочих бюджетных средств,4555
2017-04-01,средства федерального бюджета,1259
2017-05-01,"Остатки бюджетных средств на счетах, всего",6775
2017-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,82
2017-05-01,средства внебюджетных фондов,73
2017-05-01,средства прочих бюджетных средств,5152
2017-05-01,средства федерального бюджета,1468
2017-06-01,"Остатки бюджетных средств на счетах, всего",6385
2017-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,150
2017-06-01,средства внебюджетных фондов,83
2017-06-01,средства прочих бюджетных средств,4649
2017-06-01,средства федерального бюджета,1504
2017-07-01,"Остатки бюджетных средств на счетах, всего",7415
2017-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,480
2017-07-01,средства внебюджетных фондов,281
2017-07-01,средства прочих бюджетных средств,5403
2017-07-01,средства федерального бюджета,1251
2017-08-01,"Остатки бюджетных средств на счетах, всего",10789
2017-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,1729
2017-08-01,средства внебюджетных фондов,842
2017-08-01,средства прочих бюджетных средств,6927
2017-08-01,средства федерального бюджета,1292
2017-09-01,"Остатки бюджетных средств на счетах, всего",9696
2017-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,1859
2017-09-01,средства внебюджетных фондов,559
2017-09-01,средства прочих бюджетных средств,5824
2017-09-01,средства федерального бюджета,1453
2017-10-01,"Остатки бюджетных средств на счетах, всего",8724
2017-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,254
2017-10-01,средства внебюджетных фондов,617
2017-10-01,средства прочих бюджетных средств,6005
2017-10-01,средства федерального бюджета,1848
2017-11-01,"Остатки бюджетных средств на счетах, всего",8192
2017-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,159
2017-11-01,средства внебюджетных фондов,566
2017-11-01,средства прочих бюджетных средств,5828
2017-11-01,средства федерального бюджета,1638
2017-12-01,"Остатки бюджетных средств на счетах, всего",8025
2017-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,163
2017-12-01,средства внебюджетных фондов,941
2017-12-01,средства прочих бюджетных средств,5164
2017-12-01,средства федерального бюджета,1757
2018-01-01,"Остатки бюджетных средств на счетах, всего",4722
2018-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,55
2018-01-01,средства внебюджетных фондов,642
2018-01-01,средства прочих бюджетных средств,4024
2018-01-01,средства федерального бюджета,1
2018-02-01,"Остатки бюджетных средств на счетах, всего",10923
2018-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,466
2018-02-01,средства внебюджетных фондов,1050
2018-02-01,средства прочих бюджетных средств,7537
2018-02-01,средства федерального бюджета,1870
2018-03-01,"Остатки бюджетных средств на счетах, всего",11376
2018-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,90
2018-03-01,средства внебюджетных фондов,259
2018-03-01,средства прочих бюджетных средств,9423
2018-03-01,средства федерального бюджета,1604
2018-04-01,"Остатки бюджетных средств на счетах, всего",6179
2018-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,85
2018-04-01,средства внебюджетных фондов,201
2018-04-01,средства прочих бюджетных средств,4743
2018-04-01,средства федерального бюджета,1149
2018-05-01,"Остатки бюджетных средств на счетах, всего",6557
2018-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,116
2018-05-01,средства внебюджетных фондов,93
2018-05-01,средства прочих бюджетных средств,4689
2018-05-01,средства федерального бюджета,1660
2018-06-01,"Остатки бюджетных средств на счетах, всего",6650
2018-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,115
2018-06-01,средства внебюджетных фондов,612
2018-06-01,средства прочих бюджетных средств,4432
2018-06-01,средства федерального бюджета,1491
2018-07-01,"Остатки бюджетных средств на счетах, всего",7534
2018-07-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,933
2018-07-01,средства внебюджетных фондов,581
2018-07-01,средства прочих бюджетных средств,4778
2018-07-01,средства федерального бюджета,1242
2018-08-01,"Остатки бюджетных средств на счетах, всего",9361
2018-08-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,3046
2018-08-01,средства внебюджетных фондов,751
2018-08-01,средства прочих бюджетных средств,4332
2018-08-01,средства федерального бюджета,1232
2018-09-01,"Остатки бюджетных средств на счетах, всего",10136
2018-09-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,3226
2018-09-01,средства внебюджетных фондов,810
2018-09-01,средства прочих бюджетных средств,4646
2018-09-01,средства федерального бюджета,1453
2018-10-01,"Остатки бюджетных средств на счетах, всего",6908
2018-10-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,246
2018-10-01,средства внебюджетных фондов,778
2018-10-01,средства прочих бюджетных средств,4393
2018-10-01,средства федерального бюджета,1492
2018-11-01,"Остатки бюджетных средств на счетах, всего",6067
2018-11-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,74
2018-11-01,средства внебюджетных фондов,702
2018-11-01,средства прочих бюджетных средств,3845
2018-11-01,средства федерального бюджета,1446
2018-12-01,"Остатки бюджетных средств на счетах, всего",5674
2018-12-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,118
2018-12-01,средства внебюджетных фондов,312
2018-12-01,средства прочих бюджетных средств,3788
2018-12-01,средства федерального бюджета,1455
2019-01-01,"Остатки бюджетных средств на счетах, всего",2743
2019-01-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,14
2019-01-01,средства внебюджетных фондов,98
2019-01-01,средства прочих бюджетных средств,2629
2019-01-01,средства федерального бюджета,2
2019-02-01,"Остатки бюджетных средств на счетах, всего",4861
2019-02-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,87
2019-02-01,средства внебюджетных фондов,116
2019-02-01,средства прочих бюджетных средств,3181
2019-02-01,средства федерального бюджета,1477
2019-03-01,"Остатки бюджетных средств на счетах, всего",5373
2019-03-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,79
2019-03-01,средства внебюджетных фондов,95
2019-03-01,средства прочих бюджетных средств,3782
2019-03-01,средства федерального бюджета,1417
2019-04-01,"Остатки бюджетных средств на счетах, всего",4630
2019-04-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,117
2019-04-01,средства внебюджетных фондов,100
2019-04-01,средства прочих бюджетных средств,3169
2019-04-01,средства федерального бюджета,1243
2019-05-01,"Остатки бюджетных средств на счетах, всего",4963
2019-05-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,54
2019-05-01,средства внебюджетных фондов,38
2019-05-01,средства прочих бюджетных средств,3397
2019-05-01,средства федерального бюджета,1473
2019-06-01,"Остатки бюджетных средств на счетах, всего",5099
2019-06-01,средства бюджетов субъектов Российской Федерации и местных бюджетов,41
2019-06-01,средства внебюджетных фондов,665
2019-06-01,средства прочих бюджетных средств,3134
2019-06-01,средства федерального бюджета,1260
